trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.43171052342907973}",30,1,-38.8369811015024,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.4231620823177488}",25,8,4.388531615359366,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.4147829116815814}",35,2,2.3954951109037035,"{0: 29, 1: 0, 2: 4, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.4065696597405991}",30,0,-69.68000193007128,"{0: 25, 1: 1, 2: 1, 3: 2, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,0,-17.806280290504965,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.3906278353585211}",30,17,3.7553994109695124,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.38289288597511206}",25,7,-8.404067092788596,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.37531109885139957}",25,0,-71.4581645954128,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,2,-19.292283193677875,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.3605949401730783}",30,4,-100.24992638303536,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 2}",1
52,False,"{'a': 0.5, 'e': 0.35345468195878016}",25,0,-18.253253243029196,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.3464558103300574}",25,0,-71.44399617511746,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.3395955256449391}",30,13,11.887411001744766,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,14,10.561243335062384,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.32627979462303947}",30,11,-40.44614635936258,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.31981902181630384}",20,10,16.93727781422382,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.3134861808826053}",20,0,-65.62247878053103,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.30727873860113125}",30,3,33.63980587495739,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.30119421191220214}",25,6,-8.281091655911926,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.2952301669240142}",20,0,-2.29249924982569,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.2893842179390506}",20,0,8.12693272184021,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.2836540264997704}",20,0,-18.910733768001375,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.27803730045319414}",25,10,-41.433398799366714,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.2725317930340126}",25,16,-24.35300523188784,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,16,7.681925154605364,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.261845668580326}",20,0,-13.803249529551234,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.2566607769535559}",30,17,14.222680743505983,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.25157855305975646}",30,20,13.724229416852934,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.24659696394160643}",25,15,-10.568205488965669,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.24171401689703645}",25,5,34.76929508587779,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.23692775868212176}",20,2,18.097057451879042,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.23223627472975883}",25,0,-16.2097341989701,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.22763768838381274}",25,8,21.342762271278175,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.22313016014842982}",30,9,-19.469897029244354,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.21871188695221475}",30,15,-0.1412740074672585,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.21438110142697794}",20,15,10.543146091240022,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.21013607120076472}",25,11,-46.681051700558946,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.20597509820488344}",20,5,14.215581132527813,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.20189651799465538}",25,20,7.698708957275665,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.19789869908361465}",25,3,35.993553445867526,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.19398004229089189}",25,18,15.84985212669337,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.1901389801015205}",20,6,23.795143685862946,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.18637397603940997}",25,14,-14.345631543638104,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.18268352405273466}",20,13,13.652898848545323,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.17906614791149322}",20,12,14.844544463635938,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.17552040061699686}",25,20,9.41231265818347,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.17204486382305054}",35,21,11.086634697168172,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.1686381472685955}",25,6,-93.11795810755683,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 2}",1
90,False,"{'a': 0.5, 'e': 0.16529888822158653}",20,7,9.178854808508364,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.16202575093388075}",20,2,-25.897399898192194,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.15881742610692068}",30,19,22.246570149311342,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.1556726303679973}",30,20,12.838670561010195,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.15259010575688386}",20,3,18.896511896889177,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.14956861922263504}",30,8,25.285595216115436,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.14660696213035015}",30,14,18.831880641195973,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.14370394977770293}",20,12,15.452512289288546,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
